# MIT Bag Model EoS, B = 190
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306641.972933, 101960.657644, 4000.0, 102.150657644
304590.414971, 101276.80499, 3979.89949749, 101.979263601
302542.307917, 100594.102639, 3959.79899497, 101.807291498
300497.66344, 99912.55448, 3939.69849246, 101.634736436
298456.493306, 99232.1644355, 3919.59798995, 101.46159345
296418.809385, 98552.9364616, 3899.49748744, 101.287857504
294384.623645, 97874.8745483, 3879.39698492, 101.113523498
292353.94816, 97197.9827201, 3859.29648241, 100.938586257
290326.795109, 96522.2650362, 3839.1959799, 100.763040535
288303.176774, 95847.7255913, 3819.09547739, 100.586881014
286283.105548, 95174.3685161, 3798.99497487, 100.4101023
284266.593932, 94502.1979774, 3778.89447236, 100.232698923
282253.654538, 93831.2181792, 3758.79396985, 100.054665335
280244.300088, 93161.4333628, 3738.69346734, 99.8759959097
278238.543423, 92492.8478075, 3718.59296482, 99.6966849389
276236.397493, 91825.4658312, 3698.49246231, 99.5167266326
274237.875372, 91159.2917906, 3678.3919598, 99.3361151165
272242.990247, 90494.3300823, 3658.29145729, 99.1548444307
270251.75543, 89830.5851432, 3638.19095477, 98.9729085276
268264.184352, 89168.0614507, 3618.09045226, 98.7903012705
266280.290572, 88506.7635239, 3597.98994975, 98.6070164316
264300.087771, 87846.6959238, 3577.88944724, 98.42304769
262323.589762, 87187.863254, 3557.78894472, 98.2383886302
260350.810485, 86530.2701617, 3537.68844221, 98.0530327397
258381.764013, 85873.9213378, 3517.5879397, 97.866973407
256416.464554, 85218.8215179, 3497.48743719, 97.6802039198
254454.926449, 84564.9754828, 3477.38693467, 97.4927174629
252497.164179, 83912.3880597, 3457.28643216, 97.3045071156
250543.192366, 83261.0641221, 3437.18592965, 97.1155658497
248593.025773, 82611.0085911, 3417.08542714, 96.9258865273
246646.679309, 81962.2264362, 3396.98492462, 96.7354618982
244704.168027, 81314.7226755, 3376.88442211, 96.5442845978
242765.507131, 80668.5023771, 3356.7839196, 96.352347144
240830.711979, 80023.5706596, 3336.68341709, 96.1596419353
238899.798079, 79379.9326929, 3316.58291457, 95.9661612477
236972.781097, 78737.5936989, 3296.48241206, 95.7718972322
235049.676859, 78096.5589528, 3276.38190955, 95.5768419118
233130.501351, 77456.8337836, 3256.28140704, 95.3809871787
231215.270725, 76818.423575, 3236.18090452, 95.1843247915
229304.001299, 76181.3337664, 3216.08040201, 94.9868463719
227396.709561, 75545.5698538, 3195.9798995, 94.7885434019
225493.412172, 74911.1373907, 3175.87939698, 94.58940722
223594.125968, 74278.0419893, 3155.77889447, 94.3894290183
221698.867964, 73646.2893212, 3135.67839196, 94.1885998392
219807.655355, 73015.8851184, 3115.57788945, 93.9869105714
217920.505524, 72386.8351747, 3095.47738693, 93.7843519466
216037.436039, 71759.1453464, 3075.37688442, 93.5809145356
214158.464661, 71132.8215536, 3055.27638191, 93.3765887446
212283.609344, 70507.8697812, 3035.1758794, 93.171364811
210412.88824, 69884.2960801, 3015.07537688, 92.9652327996
208546.319705, 69262.1065682, 2994.97487437, 92.7581825978
206683.922296, 68641.3074321, 2974.87437186, 92.5502039121
204825.714783, 68021.9049278, 2954.77386935, 92.3412862628
202971.716146, 67403.905382, 2934.67336683, 92.1314189796
201121.945581, 66787.3151938, 2914.57286432, 91.920591197
199276.422507, 66172.1408357, 2894.47236181, 91.7087918493
197435.166565, 65558.3888549, 2874.3718593, 91.4960096651
195598.197625, 64946.0658749, 2854.27135678, 91.2822331627
193765.535791, 64335.178597, 2834.17085427, 91.0674506439
191937.201404, 63725.7338013, 2814.07035176, 90.8516501891
190113.215047, 63117.7383489, 2793.96984925, 90.6348196506
188293.597548, 62511.1991828, 2773.86934673, 90.4169466477
186478.369989, 61906.1233298, 2753.76884422, 90.1980185594
184667.553706, 61302.5179022, 2733.66834171, 89.9780225186
182861.170297, 60700.3900991, 2713.5678392, 89.7569454054
181059.241626, 60099.7472087, 2693.46733668, 89.5347738398
179261.789829, 59500.5966096, 2673.36683417, 89.3114941752
177468.837318, 58902.9457726, 2653.26633166, 89.0870924904
175680.406789, 58306.8022629, 2633.16582915, 88.8615545825
