# MIT Bag Model EoS, B = 170
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306621.972933, 101980.657644, 4000.0, 102.150657644
304570.414971, 101296.80499, 3979.89949749, 101.979263601
302522.307917, 100614.102639, 3959.79899497, 101.807291498
300477.66344, 99932.55448, 3939.69849246, 101.634736436
298436.493306, 99252.1644355, 3919.59798995, 101.46159345
296398.809385, 98572.9364616, 3899.49748744, 101.287857504
294364.623645, 97894.8745483, 3879.39698492, 101.113523498
292333.94816, 97217.9827201, 3859.29648241, 100.938586257
290306.795109, 96542.2650362, 3839.1959799, 100.763040535
288283.176774, 95867.7255913, 3819.09547739, 100.586881014
286263.105548, 95194.3685161, 3798.99497487, 100.4101023
284246.593932, 94522.1979774, 3778.89447236, 100.232698923
282233.654538, 93851.2181792, 3758.79396985, 100.054665335
280224.300088, 93181.4333628, 3738.69346734, 99.8759959097
278218.543423, 92512.8478075, 3718.59296482, 99.6966849389
276216.397493, 91845.4658312, 3698.49246231, 99.5167266326
274217.875372, 91179.2917906, 3678.3919598, 99.3361151165
272222.990247, 90514.3300823, 3658.29145729, 99.1548444307
270231.75543, 89850.5851432, 3638.19095477, 98.9729085276
268244.184352, 89188.0614507, 3618.09045226, 98.7903012705
266260.290572, 88526.7635239, 3597.98994975, 98.6070164316
264280.087771, 87866.6959238, 3577.88944724, 98.42304769
262303.589762, 87207.863254, 3557.78894472, 98.2383886302
260330.810485, 86550.2701617, 3537.68844221, 98.0530327397
258361.764013, 85893.9213378, 3517.5879397, 97.866973407
256396.464554, 85238.8215179, 3497.48743719, 97.6802039198
254434.926449, 84584.9754828, 3477.38693467, 97.4927174629
252477.164179, 83932.3880597, 3457.28643216, 97.3045071156
250523.192366, 83281.0641221, 3437.18592965, 97.1155658497
248573.025773, 82631.0085911, 3417.08542714, 96.9258865273
246626.679309, 81982.2264362, 3396.98492462, 96.7354618982
244684.168027, 81334.7226755, 3376.88442211, 96.5442845978
242745.507131, 80688.5023771, 3356.7839196, 96.352347144
240810.711979, 80043.5706596, 3336.68341709, 96.1596419353
238879.798079, 79399.9326929, 3316.58291457, 95.9661612477
236952.781097, 78757.5936989, 3296.48241206, 95.7718972322
235029.676859, 78116.5589528, 3276.38190955, 95.5768419118
233110.501351, 77476.8337836, 3256.28140704, 95.3809871787
231195.270725, 76838.423575, 3236.18090452, 95.1843247915
229284.001299, 76201.3337664, 3216.08040201, 94.9868463719
227376.709561, 75565.5698538, 3195.9798995, 94.7885434019
225473.412172, 74931.1373907, 3175.87939698, 94.58940722
223574.125968, 74298.0419893, 3155.77889447, 94.3894290183
221678.867964, 73666.2893212, 3135.67839196, 94.1885998392
219787.655355, 73035.8851184, 3115.57788945, 93.9869105714
217900.505524, 72406.8351747, 3095.47738693, 93.7843519466
216017.436039, 71779.1453464, 3075.37688442, 93.5809145356
214138.464661, 71152.8215536, 3055.27638191, 93.3765887446
212263.609344, 70527.8697812, 3035.1758794, 93.171364811
210392.88824, 69904.2960801, 3015.07537688, 92.9652327996
208526.319705, 69282.1065682, 2994.97487437, 92.7581825978
206663.922296, 68661.3074321, 2974.87437186, 92.5502039121
204805.714783, 68041.9049278, 2954.77386935, 92.3412862628
202951.716146, 67423.905382, 2934.67336683, 92.1314189796
201101.945581, 66807.3151938, 2914.57286432, 91.920591197
199256.422507, 66192.1408357, 2894.47236181, 91.7087918493
197415.166565, 65578.3888549, 2874.3718593, 91.4960096651
195578.197625, 64966.0658749, 2854.27135678, 91.2822331627
193745.535791, 64355.178597, 2834.17085427, 91.0674506439
191917.201404, 63745.7338013, 2814.07035176, 90.8516501891
190093.215047, 63137.7383489, 2793.96984925, 90.6348196506
188273.597548, 62531.1991828, 2773.86934673, 90.4169466477
186458.369989, 61926.1233298, 2753.76884422, 90.1980185594
184647.553706, 61322.5179022, 2733.66834171, 89.9780225186
182841.170297, 60720.3900991, 2713.5678392, 89.7569454054
181039.241626, 60119.7472087, 2693.46733668, 89.5347738398
