# MIT Bag Model EoS, B = 80
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306531.972933, 102070.657644, 4000.0, 102.150657644
304480.414971, 101386.80499, 3979.89949749, 101.979263601
302432.307917, 100704.102639, 3959.79899497, 101.807291498
300387.66344, 100022.55448, 3939.69849246, 101.634736436
298346.493306, 99342.1644355, 3919.59798995, 101.46159345
296308.809385, 98662.9364616, 3899.49748744, 101.287857504
294274.623645, 97984.8745483, 3879.39698492, 101.113523498
292243.94816, 97307.9827201, 3859.29648241, 100.938586257
290216.795109, 96632.2650362, 3839.1959799, 100.763040535
288193.176774, 95957.7255913, 3819.09547739, 100.586881014
286173.105548, 95284.3685161, 3798.99497487, 100.4101023
284156.593932, 94612.1979774, 3778.89447236, 100.232698923
282143.654538, 93941.2181792, 3758.79396985, 100.054665335
280134.300088, 93271.4333628, 3738.69346734, 99.8759959097
278128.543423, 92602.8478075, 3718.59296482, 99.6966849389
276126.397493, 91935.4658312, 3698.49246231, 99.5167266326
274127.875372, 91269.2917906, 3678.3919598, 99.3361151165
272132.990247, 90604.3300823, 3658.29145729, 99.1548444307
270141.75543, 89940.5851432, 3638.19095477, 98.9729085276
268154.184352, 89278.0614507, 3618.09045226, 98.7903012705
266170.290572, 88616.7635239, 3597.98994975, 98.6070164316
264190.087771, 87956.6959238, 3577.88944724, 98.42304769
262213.589762, 87297.863254, 3557.78894472, 98.2383886302
260240.810485, 86640.2701617, 3537.68844221, 98.0530327397
258271.764013, 85983.9213378, 3517.5879397, 97.866973407
256306.464554, 85328.8215179, 3497.48743719, 97.6802039198
254344.926449, 84674.9754828, 3477.38693467, 97.4927174629
252387.164179, 84022.3880597, 3457.28643216, 97.3045071156
250433.192366, 83371.0641221, 3437.18592965, 97.1155658497
248483.025773, 82721.0085911, 3417.08542714, 96.9258865273
246536.679309, 82072.2264362, 3396.98492462, 96.7354618982
244594.168027, 81424.7226755, 3376.88442211, 96.5442845978
242655.507131, 80778.5023771, 3356.7839196, 96.352347144
240720.711979, 80133.5706596, 3336.68341709, 96.1596419353
238789.798079, 79489.9326929, 3316.58291457, 95.9661612477
236862.781097, 78847.5936989, 3296.48241206, 95.7718972322
234939.676859, 78206.5589528, 3276.38190955, 95.5768419118
233020.501351, 77566.8337836, 3256.28140704, 95.3809871787
231105.270725, 76928.423575, 3236.18090452, 95.1843247915
229194.001299, 76291.3337664, 3216.08040201, 94.9868463719
227286.709561, 75655.5698538, 3195.9798995, 94.7885434019
225383.412172, 75021.1373907, 3175.87939698, 94.58940722
223484.125968, 74388.0419893, 3155.77889447, 94.3894290183
221588.867964, 73756.2893212, 3135.67839196, 94.1885998392
219697.655355, 73125.8851184, 3115.57788945, 93.9869105714
217810.505524, 72496.8351747, 3095.47738693, 93.7843519466
215927.436039, 71869.1453464, 3075.37688442, 93.5809145356
214048.464661, 71242.8215536, 3055.27638191, 93.3765887446
212173.609344, 70617.8697812, 3035.1758794, 93.171364811
210302.88824, 69994.2960801, 3015.07537688, 92.9652327996
208436.319705, 69372.1065682, 2994.97487437, 92.7581825978
206573.922296, 68751.3074321, 2974.87437186, 92.5502039121
204715.714783, 68131.9049278, 2954.77386935, 92.3412862628
202861.716146, 67513.905382, 2934.67336683, 92.1314189796
201011.945581, 66897.3151938, 2914.57286432, 91.920591197
199166.422507, 66282.1408357, 2894.47236181, 91.7087918493
197325.166565, 65668.3888549, 2874.3718593, 91.4960096651
195488.197625, 65056.0658749, 2854.27135678, 91.2822331627
193655.535791, 64445.178597, 2834.17085427, 91.0674506439
191827.201404, 63835.7338013, 2814.07035176, 90.8516501891
190003.215047, 63227.7383489, 2793.96984925, 90.6348196506
188183.597548, 62621.1991828, 2773.86934673, 90.4169466477
186368.369989, 62016.1233298, 2753.76884422, 90.1980185594
184557.553706, 61412.5179022, 2733.66834171, 89.9780225186
182751.170297, 60810.3900991, 2713.5678392, 89.7569454054
180949.241626, 60209.7472087, 2693.46733668, 89.5347738398
179151.789829, 59610.5966096, 2673.36683417, 89.3114941752
177358.837318, 59012.9457726, 2653.26633166, 89.0870924904
175570.406789, 58416.8022629, 2633.16582915, 88.8615545825
173786.521225, 57822.1737418, 2613.06532663, 88.6348659585
172007.203906, 57229.0679686, 2592.96482412, 88.4070118275
170232.478409, 56637.4928029, 2572.86432161, 88.177977092
168462.368619, 56047.4562064, 2552.7638191, 87.9477463391
