# MIT Bag Model EoS, B = 180
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306631.972933, 101970.657644, 4000.0, 102.150657644
304580.414971, 101286.80499, 3979.89949749, 101.979263601
302532.307917, 100604.102639, 3959.79899497, 101.807291498
300487.66344, 99922.55448, 3939.69849246, 101.634736436
298446.493306, 99242.1644355, 3919.59798995, 101.46159345
296408.809385, 98562.9364616, 3899.49748744, 101.287857504
294374.623645, 97884.8745483, 3879.39698492, 101.113523498
292343.94816, 97207.9827201, 3859.29648241, 100.938586257
290316.795109, 96532.2650362, 3839.1959799, 100.763040535
288293.176774, 95857.7255913, 3819.09547739, 100.586881014
286273.105548, 95184.3685161, 3798.99497487, 100.4101023
284256.593932, 94512.1979774, 3778.89447236, 100.232698923
282243.654538, 93841.2181792, 3758.79396985, 100.054665335
280234.300088, 93171.4333628, 3738.69346734, 99.8759959097
278228.543423, 92502.8478075, 3718.59296482, 99.6966849389
276226.397493, 91835.4658312, 3698.49246231, 99.5167266326
274227.875372, 91169.2917906, 3678.3919598, 99.3361151165
272232.990247, 90504.3300823, 3658.29145729, 99.1548444307
270241.75543, 89840.5851432, 3638.19095477, 98.9729085276
268254.184352, 89178.0614507, 3618.09045226, 98.7903012705
266270.290572, 88516.7635239, 3597.98994975, 98.6070164316
264290.087771, 87856.6959238, 3577.88944724, 98.42304769
262313.589762, 87197.863254, 3557.78894472, 98.2383886302
260340.810485, 86540.2701617, 3537.68844221, 98.0530327397
258371.764013, 85883.9213378, 3517.5879397, 97.866973407
256406.464554, 85228.8215179, 3497.48743719, 97.6802039198
254444.926449, 84574.9754828, 3477.38693467, 97.4927174629
252487.164179, 83922.3880597, 3457.28643216, 97.3045071156
250533.192366, 83271.0641221, 3437.18592965, 97.1155658497
248583.025773, 82621.0085911, 3417.08542714, 96.9258865273
246636.679309, 81972.2264362, 3396.98492462, 96.7354618982
244694.168027, 81324.7226755, 3376.88442211, 96.5442845978
242755.507131, 80678.5023771, 3356.7839196, 96.352347144
240820.711979, 80033.5706596, 3336.68341709, 96.1596419353
238889.798079, 79389.9326929, 3316.58291457, 95.9661612477
236962.781097, 78747.5936989, 3296.48241206, 95.7718972322
235039.676859, 78106.5589528, 3276.38190955, 95.5768419118
233120.501351, 77466.8337836, 3256.28140704, 95.3809871787
231205.270725, 76828.423575, 3236.18090452, 95.1843247915
229294.001299, 76191.3337664, 3216.08040201, 94.9868463719
227386.709561, 75555.5698538, 3195.9798995, 94.7885434019
225483.412172, 74921.1373907, 3175.87939698, 94.58940722
223584.125968, 74288.0419893, 3155.77889447, 94.3894290183
221688.867964, 73656.2893212, 3135.67839196, 94.1885998392
219797.655355, 73025.8851184, 3115.57788945, 93.9869105714
217910.505524, 72396.8351747, 3095.47738693, 93.7843519466
216027.436039, 71769.1453464, 3075.37688442, 93.5809145356
214148.464661, 71142.8215536, 3055.27638191, 93.3765887446
212273.609344, 70517.8697812, 3035.1758794, 93.171364811
210402.88824, 69894.2960801, 3015.07537688, 92.9652327996
208536.319705, 69272.1065682, 2994.97487437, 92.7581825978
206673.922296, 68651.3074321, 2974.87437186, 92.5502039121
204815.714783, 68031.9049278, 2954.77386935, 92.3412862628
202961.716146, 67413.905382, 2934.67336683, 92.1314189796
201111.945581, 66797.3151938, 2914.57286432, 91.920591197
199266.422507, 66182.1408357, 2894.47236181, 91.7087918493
197425.166565, 65568.3888549, 2874.3718593, 91.4960096651
195588.197625, 64956.0658749, 2854.27135678, 91.2822331627
193755.535791, 64345.178597, 2834.17085427, 91.0674506439
191927.201404, 63735.7338013, 2814.07035176, 90.8516501891
190103.215047, 63127.7383489, 2793.96984925, 90.6348196506
188283.597548, 62521.1991828, 2773.86934673, 90.4169466477
186468.369989, 61916.1233298, 2753.76884422, 90.1980185594
184657.553706, 61312.5179022, 2733.66834171, 89.9780225186
182851.170297, 60710.3900991, 2713.5678392, 89.7569454054
181049.241626, 60109.7472087, 2693.46733668, 89.5347738398
179251.789829, 59510.5966096, 2673.36683417, 89.3114941752
177458.837318, 58912.9457726, 2653.26633166, 89.0870924904
175670.406789, 58316.8022629, 2633.16582915, 88.8615545825
173886.521225, 57722.1737418, 2613.06532663, 88.6348659585
172107.203906, 57129.0679686, 2592.96482412, 88.4070118275
170332.478409, 56537.4928029, 2572.86432161, 88.177977092
168562.368619, 55947.4562064, 2552.7638191, 87.9477463391
166796.898735, 55358.966245, 2532.66331658, 87.7163038314
165036.093275, 54772.0310915, 2512.56281407, 87.4836334977
163279.977082, 54186.6590273, 2492.46231156, 87.2497189228
161528.575335, 53602.8584449, 2472.36180905, 87.0145433376
159781.913551, 53020.6378505, 2452.26130653, 86.7780896086
158040.017599, 52440.0058664, 2432.16080402, 86.5403402265
156302.9137, 51860.9712334, 2412.06030151, 86.3012772953
154570.62844, 51283.5428135, 2391.95979899, 86.06088252
152843.188778, 50707.7295927, 2371.85929648, 85.8191371945
151120.622052, 50133.5406839, 2351.75879397, 85.5760221889
149402.955988, 49560.9853294, 2331.65829146, 85.3315179358
147690.218713, 48990.0729042, 2311.55778894, 85.0856044169
145982.438757, 48420.812919, 2291.45728643, 84.8382611481
144279.64507, 47853.2150233, 2271.35678392, 84.5894671649
142581.867026, 47287.2890087, 2251.25628141, 84.3392010066
140889.134437, 46723.0448124, 2231.15577889, 84.0874406998
139201.477562, 46160.4925206, 2211.05527638, 83.8341637418
137518.927116, 45599.6423719, 2190.95477387, 83.5793470826
135841.514284, 45040.5047613, 2170.85427136, 83.3229671065
134169.270733, 44483.0902442, 2150.75376884, 83.0649996131
132502.22862, 43927.40954, 2130.65326633, 82.8054197967
