# MIT Bag Model EoS, B = 60
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306511.972933, 102090.657644, 4000.0, 102.150657644
304460.414971, 101406.80499, 3979.89949749, 101.979263601
302412.307917, 100724.102639, 3959.79899497, 101.807291498
300367.66344, 100042.55448, 3939.69849246, 101.634736436
298326.493306, 99362.1644355, 3919.59798995, 101.46159345
296288.809385, 98682.9364616, 3899.49748744, 101.287857504
294254.623645, 98004.8745483, 3879.39698492, 101.113523498
292223.94816, 97327.9827201, 3859.29648241, 100.938586257
290196.795109, 96652.2650362, 3839.1959799, 100.763040535
288173.176774, 95977.7255913, 3819.09547739, 100.586881014
286153.105548, 95304.3685161, 3798.99497487, 100.4101023
284136.593932, 94632.1979774, 3778.89447236, 100.232698923
282123.654538, 93961.2181792, 3758.79396985, 100.054665335
280114.300088, 93291.4333628, 3738.69346734, 99.8759959097
278108.543423, 92622.8478075, 3718.59296482, 99.6966849389
276106.397493, 91955.4658312, 3698.49246231, 99.5167266326
274107.875372, 91289.2917906, 3678.3919598, 99.3361151165
272112.990247, 90624.3300823, 3658.29145729, 99.1548444307
270121.75543, 89960.5851432, 3638.19095477, 98.9729085276
268134.184352, 89298.0614507, 3618.09045226, 98.7903012705
266150.290572, 88636.7635239, 3597.98994975, 98.6070164316
264170.087771, 87976.6959238, 3577.88944724, 98.42304769
262193.589762, 87317.863254, 3557.78894472, 98.2383886302
260220.810485, 86660.2701617, 3537.68844221, 98.0530327397
258251.764013, 86003.9213378, 3517.5879397, 97.866973407
256286.464554, 85348.8215179, 3497.48743719, 97.6802039198
254324.926449, 84694.9754828, 3477.38693467, 97.4927174629
252367.164179, 84042.3880597, 3457.28643216, 97.3045071156
250413.192366, 83391.0641221, 3437.18592965, 97.1155658497
248463.025773, 82741.0085911, 3417.08542714, 96.9258865273
246516.679309, 82092.2264362, 3396.98492462, 96.7354618982
244574.168027, 81444.7226755, 3376.88442211, 96.5442845978
242635.507131, 80798.5023771, 3356.7839196, 96.352347144
240700.711979, 80153.5706596, 3336.68341709, 96.1596419353
238769.798079, 79509.9326929, 3316.58291457, 95.9661612477
236842.781097, 78867.5936989, 3296.48241206, 95.7718972322
234919.676859, 78226.5589528, 3276.38190955, 95.5768419118
233000.501351, 77586.8337836, 3256.28140704, 95.3809871787
231085.270725, 76948.423575, 3236.18090452, 95.1843247915
229174.001299, 76311.3337664, 3216.08040201, 94.9868463719
227266.709561, 75675.5698538, 3195.9798995, 94.7885434019
225363.412172, 75041.1373907, 3175.87939698, 94.58940722
223464.125968, 74408.0419893, 3155.77889447, 94.3894290183
221568.867964, 73776.2893212, 3135.67839196, 94.1885998392
219677.655355, 73145.8851184, 3115.57788945, 93.9869105714
217790.505524, 72516.8351747, 3095.47738693, 93.7843519466
215907.436039, 71889.1453464, 3075.37688442, 93.5809145356
214028.464661, 71262.8215536, 3055.27638191, 93.3765887446
212153.609344, 70637.8697812, 3035.1758794, 93.171364811
210282.88824, 70014.2960801, 3015.07537688, 92.9652327996
208416.319705, 69392.1065682, 2994.97487437, 92.7581825978
206553.922296, 68771.3074321, 2974.87437186, 92.5502039121
204695.714783, 68151.9049278, 2954.77386935, 92.3412862628
202841.716146, 67533.905382, 2934.67336683, 92.1314189796
200991.945581, 66917.3151938, 2914.57286432, 91.920591197
199146.422507, 66302.1408357, 2894.47236181, 91.7087918493
197305.166565, 65688.3888549, 2874.3718593, 91.4960096651
195468.197625, 65076.0658749, 2854.27135678, 91.2822331627
193635.535791, 64465.178597, 2834.17085427, 91.0674506439
191807.201404, 63855.7338013, 2814.07035176, 90.8516501891
189983.215047, 63247.7383489, 2793.96984925, 90.6348196506
188163.597548, 62641.1991828, 2773.86934673, 90.4169466477
186348.369989, 62036.1233298, 2753.76884422, 90.1980185594
184537.553706, 61432.5179022, 2733.66834171, 89.9780225186
182731.170297, 60830.3900991, 2713.5678392, 89.7569454054
180929.241626, 60229.7472087, 2693.46733668, 89.5347738398
179131.789829, 59630.5966096, 2673.36683417, 89.3114941752
177338.837318, 59032.9457726, 2653.26633166, 89.0870924904
175550.406789, 58436.8022629, 2633.16582915, 88.8615545825
173766.521225, 57842.1737418, 2613.06532663, 88.6348659585
171987.203906, 57249.0679686, 2592.96482412, 88.4070118275
170212.478409, 56657.4928029, 2572.86432161, 88.177977092
168442.368619, 56067.4562064, 2552.7638191, 87.9477463391
166676.898735, 55478.966245, 2532.66331658, 87.7163038314
164916.093275, 54892.0310915, 2512.56281407, 87.4836334977
163159.977082, 54306.6590273, 2492.46231156, 87.2497189228
161408.575335, 53722.8584449, 2472.36180905, 87.0145433376
159661.913551, 53140.6378505, 2452.26130653, 86.7780896086
157920.017599, 52560.0058664, 2432.16080402, 86.5403402265
156182.9137, 51980.9712334, 2412.06030151, 86.3012772953
154450.62844, 51403.5428135, 2391.95979899, 86.06088252
152723.188778, 50827.7295927, 2371.85929648, 85.8191371945
151000.622052, 50253.5406839, 2351.75879397, 85.5760221889
149282.955988, 49680.9853294, 2331.65829146, 85.3315179358
147570.218713, 49110.0729042, 2311.55778894, 85.0856044169
145862.438757, 48540.812919, 2291.45728643, 84.8382611481
144159.64507, 47973.2150233, 2271.35678392, 84.5894671649
142461.867026, 47407.2890087, 2251.25628141, 84.3392010066
140769.134437, 46843.0448124, 2231.15577889, 84.0874406998
139081.477562, 46280.4925206, 2211.05527638, 83.8341637418
137398.927116, 45719.6423719, 2190.95477387, 83.5793470826
135721.514284, 45160.5047613, 2170.85427136, 83.3229671065
134049.270733, 44603.0902442, 2150.75376884, 83.0649996131
132382.22862, 44047.40954, 2130.65326633, 82.8054197967
130720.420608, 43493.4735361, 2110.55276382, 82.5442022257
129063.879879, 42941.2932931, 2090.45226131, 82.2813208204
127412.640144, 42390.8800479, 2070.35175879, 82.0167488304
125766.735658, 41842.2452194, 2050.25125628, 81.7504588104
124126.201238, 41295.4004126, 2030.15075377, 81.4824225952
122491.072271, 40750.3574238, 2010.05025126, 81.2126112734
120861.384736, 40207.1282454, 1989.94974874, 80.94099516
119237.175215, 39665.7250716, 1969.84924623, 80.6675437678
117618.48091, 39126.1603034, 1949.74874372, 80.3922257771
116005.339664, 38588.4465547, 1929.64824121, 80.1150090041
114397.789974, 38052.5966581, 1909.54773869, 79.835860368
112795.871012, 37518.6236706, 1889.44723618, 79.5547458559
111199.622642, 36986.5408807, 1869.34673367, 79.2716304867
109609.085443, 36456.3618144, 1849.24623116, 78.9864782725
108024.300727, 35928.1002424, 1829.14572864, 78.6992521785
106445.310562, 35401.7701872, 1809.04522613, 78.4099140805
104872.157791, 34877.3859303, 1788.94472362, 78.1184247205
103304.886061, 34354.9620204, 1768.84422111, 77.8247436598
101743.539844, 33834.5132812, 1748.74371859, 77.5288292294
100188.164459, 33316.0548197, 1728.64321608, 77.2306384783
98638.8061062, 32799.6020354, 1708.54271357, 76.9301271182
97095.5118866, 32285.1706289, 1688.44221106, 76.627249466
95558.3298354, 31772.7766118, 1668.34170854, 76.3219583825
94027.3089502, 31262.4363167, 1648.24120603, 76.0142052077
92502.4992226, 30754.1664075, 1628.14070352, 75.7039396926
90983.9516707, 30247.9838902, 1608.04020101, 75.391109927
89471.7183735, 29743.9061245, 1587.93969849, 75.075662263
87965.8525064, 29241.9508355, 1567.83919598, 74.7575412341
86466.4083787, 28742.1361262, 1547.73869347, 74.4366894691
84973.4414727, 28244.4804909, 1527.63819095, 74.1130476012
83487.0084851, 27749.0028284, 1507.53768844, 73.7865541712
82007.1673696, 27255.7224565, 1487.43718593, 73.457145525
