# MIT Bag Model EoS, B = 120
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306571.972933, 102030.657644, 4000.0, 102.150657644
304520.414971, 101346.80499, 3979.89949749, 101.979263601
302472.307917, 100664.102639, 3959.79899497, 101.807291498
300427.66344, 99982.55448, 3939.69849246, 101.634736436
298386.493306, 99302.1644355, 3919.59798995, 101.46159345
296348.809385, 98622.9364616, 3899.49748744, 101.287857504
294314.623645, 97944.8745483, 3879.39698492, 101.113523498
292283.94816, 97267.9827201, 3859.29648241, 100.938586257
290256.795109, 96592.2650362, 3839.1959799, 100.763040535
288233.176774, 95917.7255913, 3819.09547739, 100.586881014
286213.105548, 95244.3685161, 3798.99497487, 100.4101023
284196.593932, 94572.1979774, 3778.89447236, 100.232698923
282183.654538, 93901.2181792, 3758.79396985, 100.054665335
280174.300088, 93231.4333628, 3738.69346734, 99.8759959097
278168.543423, 92562.8478075, 3718.59296482, 99.6966849389
276166.397493, 91895.4658312, 3698.49246231, 99.5167266326
274167.875372, 91229.2917906, 3678.3919598, 99.3361151165
272172.990247, 90564.3300823, 3658.29145729, 99.1548444307
270181.75543, 89900.5851432, 3638.19095477, 98.9729085276
268194.184352, 89238.0614507, 3618.09045226, 98.7903012705
266210.290572, 88576.7635239, 3597.98994975, 98.6070164316
264230.087771, 87916.6959238, 3577.88944724, 98.42304769
262253.589762, 87257.863254, 3557.78894472, 98.2383886302
260280.810485, 86600.2701617, 3537.68844221, 98.0530327397
258311.764013, 85943.9213378, 3517.5879397, 97.866973407
256346.464554, 85288.8215179, 3497.48743719, 97.6802039198
254384.926449, 84634.9754828, 3477.38693467, 97.4927174629
252427.164179, 83982.3880597, 3457.28643216, 97.3045071156
250473.192366, 83331.0641221, 3437.18592965, 97.1155658497
248523.025773, 82681.0085911, 3417.08542714, 96.9258865273
246576.679309, 82032.2264362, 3396.98492462, 96.7354618982
244634.168027, 81384.7226755, 3376.88442211, 96.5442845978
242695.507131, 80738.5023771, 3356.7839196, 96.352347144
240760.711979, 80093.5706596, 3336.68341709, 96.1596419353
238829.798079, 79449.9326929, 3316.58291457, 95.9661612477
