# MIT Bag Model EoS, B = 50
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306501.972933, 102100.657644, 4000.0, 102.150657644
304450.414971, 101416.80499, 3979.89949749, 101.979263601
302402.307917, 100734.102639, 3959.79899497, 101.807291498
300357.66344, 100052.55448, 3939.69849246, 101.634736436
298316.493306, 99372.1644355, 3919.59798995, 101.46159345
296278.809385, 98692.9364616, 3899.49748744, 101.287857504
294244.623645, 98014.8745483, 3879.39698492, 101.113523498
292213.94816, 97337.9827201, 3859.29648241, 100.938586257
290186.795109, 96662.2650362, 3839.1959799, 100.763040535
288163.176774, 95987.7255913, 3819.09547739, 100.586881014
286143.105548, 95314.3685161, 3798.99497487, 100.4101023
284126.593932, 94642.1979774, 3778.89447236, 100.232698923
282113.654538, 93971.2181792, 3758.79396985, 100.054665335
280104.300088, 93301.4333628, 3738.69346734, 99.8759959097
278098.543423, 92632.8478075, 3718.59296482, 99.6966849389
276096.397493, 91965.4658312, 3698.49246231, 99.5167266326
274097.875372, 91299.2917906, 3678.3919598, 99.3361151165
272102.990247, 90634.3300823, 3658.29145729, 99.1548444307
270111.75543, 89970.5851432, 3638.19095477, 98.9729085276
268124.184352, 89308.0614507, 3618.09045226, 98.7903012705
266140.290572, 88646.7635239, 3597.98994975, 98.6070164316
264160.087771, 87986.6959238, 3577.88944724, 98.42304769
262183.589762, 87327.863254, 3557.78894472, 98.2383886302
260210.810485, 86670.2701617, 3537.68844221, 98.0530327397
258241.764013, 86013.9213378, 3517.5879397, 97.866973407
256276.464554, 85358.8215179, 3497.48743719, 97.6802039198
254314.926449, 84704.9754828, 3477.38693467, 97.4927174629
252357.164179, 84052.3880597, 3457.28643216, 97.3045071156
250403.192366, 83401.0641221, 3437.18592965, 97.1155658497
248453.025773, 82751.0085911, 3417.08542714, 96.9258865273
246506.679309, 82102.2264362, 3396.98492462, 96.7354618982
244564.168027, 81454.7226755, 3376.88442211, 96.5442845978
242625.507131, 80808.5023771, 3356.7839196, 96.352347144
240690.711979, 80163.5706596, 3336.68341709, 96.1596419353
238759.798079, 79519.9326929, 3316.58291457, 95.9661612477
236832.781097, 78877.5936989, 3296.48241206, 95.7718972322
