# MIT Bag Model EoS, B = 90
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
979.015034752, 206.338344917, 50.0, 23.7070675934
973.063479424, 204.354493141, 49.7487437186, 23.6672905596
967.121935154, 202.373978385, 49.4974874372, 23.62737937
961.190435795, 200.396811932, 49.2462311558, 23.5873328875
955.269015483, 198.423005161, 48.9949748744, 23.5471499598
949.357708647, 196.452569549, 48.743718593, 23.5068294187
943.456550012, 194.485516671, 48.4924623116, 23.4663700798
937.565574603, 192.521858201, 48.2412060302, 23.4257707425
931.684817748, 190.561605916, 47.9899497487, 23.3850301894
925.814315082, 188.604771694, 47.7386934673, 23.3441471861
919.954102554, 186.651367518, 47.4874371859, 23.3031204809
914.104216429, 184.701405476, 47.2361809045, 23.2619488042
908.264693294, 182.754897765, 46.9849246231, 23.2206308685
902.43557006, 180.811856687, 46.7336683417, 23.179165368
896.61688397, 178.872294657, 46.4824120603, 23.137550978
890.808672603, 176.936224201, 46.2311557789, 23.0957863548
885.010973875, 175.003657958, 45.9798994975, 23.053870135
879.223826051, 173.074608684, 45.7286432161, 23.0118009354
873.447267742, 171.149089247, 45.4773869347, 22.9695773526
867.681337918, 169.227112639, 45.2261306533, 22.9271979623
861.926075906, 167.308691969, 44.9748743719, 22.8846613192
856.181521402, 165.393840467, 44.7236180905, 22.8419659564
850.447714472, 163.482571491, 44.472361809, 22.7991103849
844.724695557, 161.574898519, 44.2211055276, 22.7560930933
839.012505484, 159.670835161, 43.9698492462, 22.7129125473
833.311185467, 157.770395156, 43.7185929648, 22.669567189
827.620777114, 155.873592371, 43.4673366834, 22.6260554367
821.941322434, 153.980440811, 43.216080402, 22.5823756844
816.272863842, 152.090954614, 42.9648241206, 22.5385263009
810.615444166, 150.205148055, 42.7135678392, 22.4945056297
804.969106655, 148.323035552, 42.4623115578, 22.4503119881
799.333894983, 146.444631661, 42.2110552764, 22.4059436669
793.709853256, 144.569951085, 41.959798995, 22.3613989298
788.097026021, 142.699008674, 41.7085427136, 22.3166760126
782.495458272, 140.831819424, 41.4572864322, 22.2717731226
776.905195456, 138.968398485, 41.2060301508, 22.2266884383
771.326283483, 137.108761161, 40.9547738693, 22.1814201085
765.758768729, 135.25292291, 40.7035175879, 22.1359662514
760.20269805, 133.40089935, 40.4522613065, 22.0903249544
754.658118784, 131.552706261, 40.2010050251, 22.044494273
749.125078764, 129.708359588, 39.9497487437, 21.9984722304
743.603626321, 127.86787544, 39.6984924623, 21.9522568165
738.093810297, 126.031270099, 39.4472361809, 21.9058459871
732.595680054, 124.198560018, 39.1959798995, 21.8592376634
727.109285476, 122.369761825, 38.9447236181, 21.8124297307
721.634676986, 120.544892329, 38.6934673367, 21.7654200381
716.171905553, 118.723968518, 38.4422110553, 21.7182063974
710.721022697, 116.907007566, 38.1909547739, 21.6707865819
705.282080506, 115.094026835, 37.9396984925, 21.623158326
699.855131641, 113.28504388, 37.6884422111, 21.5753193238
694.440229346, 111.480076449, 37.4371859296, 21.5272672286
689.037427462, 109.679142487, 37.1859296482, 21.4789996514
683.646780435, 107.882260145, 36.9346733668, 21.4305141599
678.268343328, 106.089447776, 36.6834170854, 21.381808278
672.902171829, 104.300723943, 36.432160804, 21.332879484
667.54832227, 102.516107423, 36.1809045226, 21.2837252096
662.206851631, 100.73561721, 35.9296482412, 21.2343428391
656.877817557, 98.959272519, 35.6783919598, 21.1847297078
651.561278367, 97.1870927891, 35.4271356784, 21.1348831007
646.257293071, 95.4190976903, 35.175879397, 21.0848002516
640.965921378, 93.6553071261, 34.9246231156, 21.0344783413
635.687223715, 91.8957412382, 34.6733668342, 20.9839144965
630.421261234, 90.1404204114, 34.4221105528, 20.933105788
625.168095835, 88.3893652784, 34.1708542714, 20.8820492296
619.927790172, 86.642596724, 33.9195979899, 20.8307417766
614.700407672, 84.9001358908, 33.6683417085, 20.7791803237
609.486012552, 83.1620041841, 33.4170854271, 20.7273617038
604.284669831, 81.428223277, 33.1658291457, 20.6752826861
599.096445348, 79.6988151159, 32.9145728643, 20.6229399744
593.921405778, 77.973801926, 32.6633165829, 20.5703302051
588.759618652, 76.2532062174, 32.4120603015, 20.5174499456
583.611152371, 74.5370507903, 32.1608040201, 20.464295692
578.476076225, 72.8253587416, 31.9095477387, 20.4108638675
573.354460412, 71.1181534708, 31.6582914573, 20.3571508195
568.24637606, 69.4154586867, 31.4070351759, 20.3031528183
563.151895241, 67.7172984136, 31.1557788945, 20.2488660544
558.071090995, 66.0236969984, 30.9045226131, 20.1942866359
553.004037352, 64.3346791175, 30.6532663317, 20.1394105865
547.950809351, 62.6502697838, 30.4020100503, 20.0842338426
542.911483063, 60.9704943545, 30.1507537688, 20.028752251
537.886135615, 59.2953785382, 29.8994974874, 19.9729615658
532.874845211, 57.6249484035, 29.648241206, 19.9168574456
527.877691159, 55.9592303863, 29.3969849246, 19.8604354509
522.894753896, 54.2982512987, 29.1457286432, 19.8036910403
517.926115013, 52.6420383376, 28.8944723618, 19.7466195681
512.97185728, 50.9906190933, 28.6432160804, 19.6892162804
508.032064677, 49.3440215591, 28.391959799, 19.6314763117
503.106822421, 47.7022741405, 28.1407035176, 19.5733946814
498.196216995, 46.0654056649, 27.8894472362, 19.51496629
493.300336177, 44.4334453923, 27.6381909548, 19.456185915
488.419269075, 42.806423025, 27.3869346734, 19.397048207
483.553106157, 41.1843687191, 27.135678392, 19.3375476853
478.701939286, 39.5673130952, 26.8844221106, 19.2776787334
473.86586175, 37.9552872501, 26.6331658291, 19.2174355945
469.044968307, 36.348322769, 26.3819095477, 19.1568123665
464.239355213, 34.7464517375, 26.1306532663, 19.0958029967
459.449120264, 33.1497067546, 25.8793969849, 19.034401277
454.674362838, 31.5581209461, 25.6281407035, 18.9726008379
449.915183934, 29.971727978, 25.3768844221, 18.9103951427
445.171686214, 28.3905620713, 25.1256281407, 18.8477774817
440.443974048, 26.814658016, 24.8743718593, 18.7847409658
435.732153561, 25.2440511871, 24.6231155779, 18.7212785194
431.036332681, 23.6787775603, 24.3718592965, 18.6573828738
426.356621184, 22.1188737281, 24.1206030151, 18.5930465599
421.693130753, 20.5643769176, 23.8693467337, 18.5282619003
417.045975023, 19.0153250076, 23.6180904523, 18.4630210013
412.415269642, 17.4717565474, 23.3668341709, 18.3973157445
