# MIT Bag Model EoS, B = 50
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
412694.225822, 137498.075274, 5000.0, 110.038460219
409931.758546, 136577.252849, 4974.87437186, 109.853831583
407173.937993, 135657.979331, 4949.74874372, 109.668580251
404420.779874, 134740.259958, 4924.62311558, 109.482700945
401672.300034, 133824.100011, 4899.49748744, 109.296188317
398928.514453, 132909.504818, 4874.3718593, 109.109036943
396189.439251, 131996.47975, 4849.24623116, 108.921241328
393455.090683, 131085.030228, 4824.12060302, 108.732795897
390725.485148, 130175.161716, 4798.99497487, 108.543695001
388000.639186, 129266.879729, 4773.86934673, 108.353932909
385280.569482, 128360.189827, 4748.74371859, 108.163503812
382565.292871, 127455.097624, 4723.61809045, 107.972401817
379854.826333, 126551.608778, 4698.49246231, 107.780620949
377149.187002, 125649.729001, 4673.36683417, 107.588155145
374448.392164, 124749.464055, 4648.24120603, 107.394998257
371752.459261, 123850.819754, 4623.11557789, 107.201144048
369061.405894, 122953.801965, 4597.98994975, 107.00658619
366375.249822, 122058.416607, 4572.86432161, 106.811318263
363694.008968, 121164.669656, 4547.73869347, 106.615333753
361017.701419, 120272.56714, 4522.61306533, 106.418626048
358346.34543, 119382.115143, 4497.48743719, 106.22118844
355679.959426, 118493.319809, 4472.36180905, 106.023014121
353018.562004, 117606.187335, 4447.2361809, 105.824096179
350362.171935, 116720.723978, 4422.11055276, 105.624427599
347710.808169, 115836.936056, 4396.98492462, 105.424001258
345064.489836, 114954.829945, 4371.85929648, 105.222809927
342423.236249, 114074.412083, 4346.73366834, 105.020846264
339787.066907, 113195.688969, 4321.6080402, 104.818102813
337156.001496, 112318.667165, 4296.48241206, 104.614572004
334530.059897, 111443.353299, 4271.35678392, 104.410246148
331909.262183, 110569.754061, 4246.23115578, 104.205117435
329293.628625, 109697.876208, 4221.10552764, 103.999177931
326683.179698, 108827.726566, 4195.9798995, 103.792419577
324077.936076, 107959.312025, 4170.85427136, 103.584834183
321477.918644, 107092.639548, 4145.72864322, 103.376413431
318883.148498, 106227.716166, 4120.60301508, 103.167148864
316293.646946, 105364.548982, 4095.47738693, 102.957031889
313709.435515, 104503.145172, 4070.35175879, 102.746053774
311130.535953, 103643.511984, 4045.22613065, 102.534205639
308556.970232, 102785.656744, 4020.10050251, 102.32147846
305988.760554, 101929.586851, 3994.97487437, 102.107863061
303425.929354, 101075.309785, 3969.84924623, 101.893350112
300868.499301, 100222.8331, 3944.72361809, 101.677930125
298316.493306, 99372.1644355, 3919.59798995, 101.46159345
295769.934525, 98523.3115085, 3894.47236181, 101.244330272
293228.846362, 97676.2821207, 3869.34673367, 101.026130608
290693.252473, 96831.0841578, 3844.22110553, 100.8069843
288163.176774, 95987.7255913, 3819.09547739, 100.586881014
285638.64344, 95146.21448, 3793.96984925, 100.365810233
283119.676915, 94306.5589715, 3768.84422111, 100.143761255
280606.301912, 93468.767304, 3743.71859296, 99.9207231866
278098.543423, 92632.8478075, 3718.59296482, 99.6966849389
275596.426718, 91798.808906, 3693.46733668, 99.4716352233
273099.977356, 90966.6591186, 3668.34170854, 99.2455625457
270609.221185, 90136.4070617, 3643.2160804, 99.0184552015
268124.184352, 89308.0614507, 3618.09045226, 98.7903012705
265644.893305, 88481.6311016, 3592.96482412, 98.561088611
263171.3748, 87657.1249332, 3567.83919598, 98.3308048547
260703.655906, 86834.5519686, 3542.71356784, 98.0994374
258241.764013, 86013.9213378, 3517.5879397, 97.866973407
255785.726837, 85195.242279, 3492.46231156, 97.63339979
253335.572424, 84378.5241413, 3467.33668342, 97.3987032123
250891.329159, 83563.7763864, 3442.21105528, 97.1628700782
248453.025773, 82751.0085911, 3417.08542714, 96.9258865273
246020.691348, 81940.2304494, 3391.95979899, 96.6877384263
243594.355324, 81131.4517748, 3366.83417085, 96.4484113623
241174.047508, 80324.6825027, 3341.70854271, 96.2078906348
238759.798079, 79519.9326929, 3316.58291457, 95.9661612477
236351.637596, 78717.2125319, 3291.45728643, 95.7232079014
233949.597008, 77916.5323359, 3266.33165829, 95.4790149837
231553.707659, 77117.9025531, 3241.20603015, 95.2335665617
229164.001299, 76321.3337664, 3216.08040201, 94.9868463719
226780.510089, 75526.8366964, 3190.95477387, 94.7388378115
224403.266613, 74734.4222042, 3165.82914573, 94.4895239279
222032.303884, 73944.1012945, 3140.70351759, 94.2388874087
219667.655355, 73155.8851184, 3115.57788945, 93.9869105714
217309.35493, 72369.7849767, 3090.45226131, 93.7335753519
214957.436969, 71585.8123231, 3065.32663317, 93.4788632937
212611.936303, 70803.9787676, 3040.20100503, 93.2227555356
210272.88824, 70024.2960801, 3015.07537688, 92.9652327996
207940.32858, 69246.7761933, 2989.94974874, 92.7062753779
205614.293622, 68471.4312072, 2964.8241206, 92.4458631203
203294.820177, 67698.2733924, 2939.69849246, 92.1839754194
200981.945581, 66927.3151938, 2914.57286432, 91.920591197
198675.707705, 66158.5692352, 2889.44723618, 91.655688889
196376.144968, 65392.0483228, 2864.32160804, 91.3892464297
194083.29635, 64627.76545, 2839.1959799, 91.1212412357
191797.201404, 63865.7338013, 2814.07035176, 90.8516501891
189517.900273, 63105.9667575, 2788.94472362, 90.5804496198
187245.433699, 62348.4778997, 2763.81909548, 90.3076152875
184979.843043, 61593.2810145, 2738.69346734, 90.0331223625
182721.170297, 60840.3900991, 2713.5678392, 89.7569454054
180469.458099, 60089.8193664, 2688.44221106, 89.479058347
178224.749751, 59341.5832502, 2663.31658291, 89.1994344663
175987.089233, 58595.696411, 2638.19095477, 88.918046368
173756.521225, 57852.1737418, 2613.06532663, 88.6348659585
171533.09112, 57111.0303735, 2587.93969849, 88.3498644219
169316.845046, 56372.2816818, 2562.81407035, 88.0630121936
167107.82988, 55635.9432932, 2537.68844221, 87.7742789335
164906.093275, 54902.0310915, 2512.56281407, 87.4836334977
162711.683675, 54170.5612249, 2487.43718593, 87.1910439092
160524.650339, 53441.550113, 2462.31155779, 86.8964773265
158345.043363, 52715.0144542, 2437.18592965, 86.5999000115
156172.9137, 51990.9712334, 2412.06030151, 86.3012772953
154008.313189, 51269.4377296, 2386.93467337, 86.0005735426
151851.294574, 50550.4315248, 2361.80904523, 85.6977521143
149701.911536, 49833.9705119, 2336.68341709, 85.392775328
147560.218713, 49120.0729042, 2311.55778894, 85.0856044169
145426.271732, 48408.7572442, 2286.4321608, 84.7761994865
143300.12724, 47700.0424132, 2261.30653266, 84.4645194687
141181.842926, 46993.947642, 2236.18090452, 84.1505220743
139071.477562, 46290.4925206, 2211.05527638, 83.8341637418
136969.091028, 45589.6970092, 2185.92964824, 83.5153995847
134874.74435, 44891.58145, 2160.8040201, 83.1941833354
132788.499736, 44196.1665786, 2135.67839196, 82.870467286
130710.420608, 43503.4735361, 2110.55276382, 82.5442022257
128640.571648, 42813.5238828, 2085.42713568, 82.2153373752
126579.018832, 42126.3396107, 2060.30150754, 81.8838203173
124525.829474, 41441.943158, 2035.1758794, 81.5495969229
122481.072271, 40760.3574238, 2010.05025126, 81.2126112734
120444.81735, 40081.6057832, 1984.92462312, 80.8728055783
118417.13631, 39405.7121035, 1959.79899497, 80.5301200881
116398.102283, 38732.7007608, 1934.67336683, 80.1844930016
114387.789974, 38062.5966581, 1909.54773869, 79.835860368
112386.275729, 37395.4252429, 1884.42211055, 79.4841559822
110393.637582, 36731.2125273, 1859.29648241, 79.1293112749
108409.955324, 36069.9851079, 1834.17085427, 78.7712551941
106435.310562, 35411.7701872, 1809.04522613, 78.4099140805
104469.786788, 34756.595596, 1783.91959799, 78.0452115336
102513.469451, 34104.489817, 1758.79396985, 77.6770682696
100566.446028, 33455.4820095, 1733.66834171, 77.3054019697
98628.8061062, 32809.6020354, 1708.54271357, 76.9301271182
96700.6414607, 32166.8804869, 1683.41708543, 76.5511548286
94782.0461463, 31527.3487154, 1658.29145729, 76.168392659
92873.1165863, 30891.0388621, 1633.16582915, 75.781744413
90973.9516707, 30257.9838902, 1608.04020101, 75.391109927
89084.6528584, 29628.2176195, 1582.91457286, 74.9963848416
87205.3242854, 29001.7747618, 1557.78894472, 74.5974603561
85336.0728802, 28378.6909601, 1532.66331658, 74.1942229646
83477.0084851, 27759.0028284, 1507.53768844, 73.7865541712
81628.2439856, 27142.7479952, 1482.4120603, 73.3743301836
79789.8954475, 26529.9651492, 1457.28643216, 72.9574215818
77962.0822629, 25920.6940876, 1432.16080402, 72.5356929606
76144.9273052, 25314.9757684, 1407.03517588, 72.1090025416
74338.5570944, 24712.8523648, 1381.90954774, 71.6772017541
72543.1019736, 24114.3673245, 1356.7839196, 71.240134779
70758.6962971, 23519.5654324, 1331.65829146, 70.7976380534
68985.4786317, 22928.4928772, 1306.53266332, 70.3495397318
67223.5919721, 22341.197324, 1281.40703518, 69.8956590978
65473.1839718, 21757.7279906, 1256.28140704, 69.4358059221
63734.4071906, 21178.1357302, 1231.15577889, 68.9697797602
62007.419361, 20602.4731203, 1206.03015075, 68.4973691824
60292.3836744, 20030.7945581, 1180.90452261, 68.0183509288
58589.4690901, 19463.1563634, 1155.77889447, 67.5324889794
56898.8506687, 18899.6168896, 1130.65326633, 67.0395335293
55220.7099319, 18340.236644, 1105.52763819, 66.5392198573
53555.2352532, 17785.0784177, 1080.40201005, 66.0312670721
51902.6222811, 17234.207427, 1055.27638191, 65.5153767234
50263.0743996, 16687.6914665, 1030.15075377, 64.9912312555
48636.8032293, 16145.6010764, 1005.02512563, 64.4584922842
47024.0291744, 15608.0097248, 979.899497487, 63.9167986715
45424.9820212, 15074.9940071, 954.773869347, 63.3657643664
43839.9015938, 14546.6338646, 929.648241206, 62.8049759796
42269.0384748, 14023.0128249, 904.522613065, 62.2339900481
40712.6547987, 13504.2182662, 879.396984925, 61.6523299425
39171.0251287, 12990.3417096, 854.271356784, 61.0594823577
37644.4374269, 12481.4791423, 829.145728643, 60.4548933168
36133.1941328, 11977.7313776, 804.020100503, 59.8379636036
34637.6133638, 11479.2044546, 778.894472362, 59.2080435217
33158.0302579, 10986.010086, 753.768844221, 58.5644268563
31694.7984793, 10498.2661598, 728.64321608, 57.906343884
30248.2919134, 10016.0973045, 703.51758794, 57.2329532454
28818.9065833, 9539.63552777, 678.391959799, 56.5433324452
27407.0628245, 9069.02094149, 653.266331658, 55.8364666879
26013.207765, 8604.40258833, 628.140703518, 55.1112356825
24637.8181677, 8145.93938924, 603.015075377, 54.3663979486
23281.4037038, 7693.80123461, 577.889447236, 53.6005720239
21944.5107459, 7248.17024865, 552.763819095, 52.8122137993
20627.7267891, 6809.24226303, 527.638190955, 51.9995889654
19331.6856395, 6377.2285465, 502.512562814, 51.1607392301
18057.0735484, 5952.35784946, 477.386934673, 50.293440507
16804.636522, 5534.87884067, 452.261306533, 49.3951506353
