# MIT Bag Model EoS, B = 110
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
662.552004876, 74.1840016254, 35.0, 21.0496001858
658.852918021, 72.9509726737, 34.824120603, 21.0142819983
655.160053368, 71.7200177893, 34.648241206, 20.9788446933
651.473431955, 70.4911439851, 34.472361809, 20.9432872613
647.793075002, 69.2643583339, 34.2964824121, 20.9076086789
644.119003905, 68.0396679684, 34.1206030151, 20.8718079091
640.451240249, 66.8170800829, 33.9447236181, 20.8358839002
636.789805801, 65.5966019335, 33.7688442211, 20.7998355862
633.134722519, 64.3782408396, 33.5929648241, 20.7636618861
629.486012552, 63.1620041841, 33.4170854271, 20.7273617038
625.843698244, 61.9478994147, 33.2412060302, 20.6909339281
622.207802134, 60.7359340447, 33.0653266332, 20.6543774315
618.578346962, 59.526115654, 32.8894472362, 20.6176910711
614.95535567, 58.31845189, 32.7135678392, 20.5808736873
611.338851405, 57.1129504684, 32.5376884422, 20.5439241039
607.728857524, 55.9096191747, 32.3618090452, 20.5068411278
604.125397593, 54.7084658644, 32.1859296482, 20.4696235485
600.528495395, 53.509498465, 32.0100502513, 20.4322701379
596.938174928, 52.312724976, 31.8341708543, 20.3947796497
593.354460412, 51.1181534708, 31.6582914573, 20.3571508195
589.777376293, 49.9257920976, 31.4824120603, 20.3193823639
586.20694724, 48.73564908, 31.3065326633, 20.2814729804
582.643198157, 47.5477327189, 31.1306532663, 20.2434213469
579.086154179, 46.3620513931, 30.9547738693, 20.2052261216
575.535840682, 45.1786135608, 30.7788944724, 20.1668859419
571.992283282, 43.9974277605, 30.6030150754, 20.1283994249
568.455507838, 42.8185026126, 30.4271356784, 20.0897651659
564.925540461, 41.6418468203, 30.2512562814, 20.050981739
561.402407513, 40.4674691711, 30.0753768844, 20.0120476959
557.886135615, 39.2953785382, 29.8994974874, 19.9729615658
554.376751645, 38.1255838816, 29.7236180905, 19.9337218546
550.874282749, 36.9580942496, 29.5477386935, 19.8943270447
