# MIT Bag Model EoS, B = 160
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
4006.54465561, 1122.18155187, 150.0, 34.1915080498
3980.79377126, 1113.59792375, 149.246231156, 34.13413964
3955.08620225, 1105.02873408, 148.492462312, 34.0765777438
3929.42209504, 1096.47403168, 147.738693467, 34.0188207217
3903.80159734, 1087.93386578, 146.984924623, 33.9608669115
3878.22485811, 1079.40828604, 146.231155779, 33.9027146283
3852.69202759, 1070.89734253, 145.477386935, 33.8443621642
3827.20325734, 1062.40108578, 144.72361809, 33.7858077875
3801.75870019, 1053.91956673, 143.969849246, 33.7270497423
3776.35851035, 1045.45283678, 143.216080402, 33.6680862484
3751.00284335, 1037.00094778, 142.462311558, 33.6089155004
3725.6918561, 1028.56395203, 141.708542714, 33.5495356673
3700.4257069, 1020.1419023, 140.954773869, 33.4899448924
3675.20455546, 1011.73485182, 140.201005025, 33.4301412921
3650.02856293, 1003.34285431, 139.447236181, 33.370122956
3624.89789188, 994.96596396, 138.693467337, 33.3098879461
3599.81270638, 986.604235462, 137.939698492, 33.2494342961
3574.773172, 978.257723998, 137.185929648, 33.1887600111
3549.77945578, 969.92648526, 136.432160804, 33.1278630669
3524.83172634, 961.610575448, 135.67839196, 33.0667414095
3499.93015385, 953.310051285, 134.924623116, 33.0053929543
3475.07491006, 945.02497002, 134.170854271, 32.9438155856
3450.26616831, 936.755389438, 133.417085427, 32.882007156
3425.5041036, 928.501367868, 132.663316583, 32.8199654857
3400.78889257, 920.26296419, 131.909547739, 32.7576883617
3376.12071354, 912.040237845, 131.155778894, 32.6951735373
3351.49974653, 903.833248843, 130.40201005, 32.6324187314
3326.92617331, 895.64205777, 129.648241206, 32.5694216273
3302.4001774, 887.466725801, 128.894472362, 32.5061798728
3277.92194412, 879.307314705, 128.140703518, 32.4426910786
3253.49166057, 871.163886856, 127.386934673, 32.378952818
3229.10951573, 863.036505243, 126.633165829, 32.3149626259
3204.77570044, 854.925233479, 125.879396985, 32.250717998
3180.49040744, 846.830135812, 125.125628141, 32.1862163898
3156.2538314, 838.751277133, 124.371859296, 32.1214552161
3132.06616897, 830.688722989, 123.618090452, 32.0564318496
3107.92761878, 822.642539592, 122.864321608, 31.9911436203
3083.83838149, 814.612793831, 122.110552764, 31.9255878144
3059.79865984, 806.599553281, 121.35678392, 31.8597616734
3035.80865865, 798.602886218, 120.603015075, 31.7936623929
3011.86858488, 790.622861626, 119.849246231, 31.7272871218
2987.97864764, 782.659549212, 119.095477387, 31.6606329609
2964.13905826, 774.71301942, 118.341708543, 31.5936969622
2940.35003032, 766.783343439, 117.587939698, 31.5264761272
2916.61177965, 758.870593216, 116.834170854, 31.4589674065
2892.92452442, 750.974841475, 116.08040201, 31.3911676976
2869.28848517, 743.096161722, 115.326633166, 31.3230738445
2845.7038848, 735.234628266, 114.572864322, 31.2546826359
2822.17094868, 727.390316228, 113.819095477, 31.1859908043
2798.68990468, 719.563301559, 113.065326633, 31.116995024
