# MIT Bag Model EoS, B = 120
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
412764.225822, 137428.075274, 5000.0, 110.038460219
410001.758546, 136507.252849, 4974.87437186, 109.853831583
407243.937993, 135587.979331, 4949.74874372, 109.668580251
404490.779874, 134670.259958, 4924.62311558, 109.482700945
401742.300034, 133754.100011, 4899.49748744, 109.296188317
398998.514453, 132839.504818, 4874.3718593, 109.109036943
396259.439251, 131926.47975, 4849.24623116, 108.921241328
393525.090683, 131015.030228, 4824.12060302, 108.732795897
390795.485148, 130105.161716, 4798.99497487, 108.543695001
388070.639186, 129196.879729, 4773.86934673, 108.353932909
385350.569482, 128290.189827, 4748.74371859, 108.163503812
382635.292871, 127385.097624, 4723.61809045, 107.972401817
379924.826333, 126481.608778, 4698.49246231, 107.780620949
377219.187002, 125579.729001, 4673.36683417, 107.588155145
374518.392164, 124679.464055, 4648.24120603, 107.394998257
371822.459261, 123780.819754, 4623.11557789, 107.201144048
369131.405894, 122883.801965, 4597.98994975, 107.00658619
366445.249822, 121988.416607, 4572.86432161, 106.811318263
363764.008968, 121094.669656, 4547.73869347, 106.615333753
361087.701419, 120202.56714, 4522.61306533, 106.418626048
358416.34543, 119312.115143, 4497.48743719, 106.22118844
355749.959426, 118423.319809, 4472.36180905, 106.023014121
353088.562004, 117536.187335, 4447.2361809, 105.824096179
350432.171935, 116650.723978, 4422.11055276, 105.624427599
347780.808169, 115766.936056, 4396.98492462, 105.424001258
345134.489836, 114884.829945, 4371.85929648, 105.222809927
342493.236249, 114004.412083, 4346.73366834, 105.020846264
339857.066907, 113125.688969, 4321.6080402, 104.818102813
337226.001496, 112248.667165, 4296.48241206, 104.614572004
334600.059897, 111373.353299, 4271.35678392, 104.410246148
331979.262183, 110499.754061, 4246.23115578, 104.205117435
329363.628625, 109627.876208, 4221.10552764, 103.999177931
326753.179698, 108757.726566, 4195.9798995, 103.792419577
324147.936076, 107889.312025, 4170.85427136, 103.584834183
321547.918644, 107022.639548, 4145.72864322, 103.376413431
318953.148498, 106157.716166, 4120.60301508, 103.167148864
316363.646946, 105294.548982, 4095.47738693, 102.957031889
313779.435515, 104433.145172, 4070.35175879, 102.746053774
311200.535953, 103573.511984, 4045.22613065, 102.534205639
308626.970232, 102715.656744, 4020.10050251, 102.32147846
306058.760554, 101859.586851, 3994.97487437, 102.107863061
303495.929354, 101005.309785, 3969.84924623, 101.893350112
300938.499301, 100152.8331, 3944.72361809, 101.677930125
298386.493306, 99302.1644355, 3919.59798995, 101.46159345
295839.934525, 98453.3115085, 3894.47236181, 101.244330272
293298.846362, 97606.2821207, 3869.34673367, 101.026130608
290763.252473, 96761.0841578, 3844.22110553, 100.8069843
288233.176774, 95917.7255913, 3819.09547739, 100.586881014
285708.64344, 95076.21448, 3793.96984925, 100.365810233
283189.676915, 94236.5589715, 3768.84422111, 100.143761255
280676.301912, 93398.767304, 3743.71859296, 99.9207231866
278168.543423, 92562.8478075, 3718.59296482, 99.6966849389
275666.426718, 91728.808906, 3693.46733668, 99.4716352233
273169.977356, 90896.6591186, 3668.34170854, 99.2455625457
270679.221185, 90066.4070617, 3643.2160804, 99.0184552015
268194.184352, 89238.0614507, 3618.09045226, 98.7903012705
265714.893305, 88411.6311016, 3592.96482412, 98.561088611
