# MIT Bag Model EoS, B = 100
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
989.015034752, 196.338344917, 50.0, 23.7070675934
983.063479424, 194.354493141, 49.7487437186, 23.6672905596
977.121935154, 192.373978385, 49.4974874372, 23.62737937
971.190435795, 190.396811932, 49.2462311558, 23.5873328875
965.269015483, 188.423005161, 48.9949748744, 23.5471499598
959.357708647, 186.452569549, 48.743718593, 23.5068294187
953.456550012, 184.485516671, 48.4924623116, 23.4663700798
947.565574603, 182.521858201, 48.2412060302, 23.4257707425
941.684817748, 180.561605916, 47.9899497487, 23.3850301894
935.814315082, 178.604771694, 47.7386934673, 23.3441471861
929.954102554, 176.651367518, 47.4874371859, 23.3031204809
924.104216429, 174.701405476, 47.2361809045, 23.2619488042
918.264693294, 172.754897765, 46.9849246231, 23.2206308685
912.43557006, 170.811856687, 46.7336683417, 23.179165368
906.61688397, 168.872294657, 46.4824120603, 23.137550978
900.808672603, 166.936224201, 46.2311557789, 23.0957863548
895.010973875, 165.003657958, 45.9798994975, 23.053870135
889.223826051, 163.074608684, 45.7286432161, 23.0118009354
883.447267742, 161.149089247, 45.4773869347, 22.9695773526
877.681337918, 159.227112639, 45.2261306533, 22.9271979623
871.926075906, 157.308691969, 44.9748743719, 22.8846613192
866.181521402, 155.393840467, 44.7236180905, 22.8419659564
860.447714472, 153.482571491, 44.472361809, 22.7991103849
854.724695557, 151.574898519, 44.2211055276, 22.7560930933
849.012505484, 149.670835161, 43.9698492462, 22.7129125473
843.311185467, 147.770395156, 43.7185929648, 22.669567189
837.620777114, 145.873592371, 43.4673366834, 22.6260554367
831.941322434, 143.980440811, 43.216080402, 22.5823756844
826.272863842, 142.090954614, 42.9648241206, 22.5385263009
820.615444166, 140.205148055, 42.7135678392, 22.4945056297
814.969106655, 138.323035552, 42.4623115578, 22.4503119881
809.333894983, 136.444631661, 42.2110552764, 22.4059436669
803.709853256, 134.569951085, 41.959798995, 22.3613989298
798.097026021, 132.699008674, 41.7085427136, 22.3166760126
792.495458272, 130.831819424, 41.4572864322, 22.2717731226
786.905195456, 128.968398485, 41.2060301508, 22.2266884383
781.326283483, 127.108761161, 40.9547738693, 22.1814201085
775.758768729, 125.25292291, 40.7035175879, 22.1359662514
770.20269805, 123.40089935, 40.4522613065, 22.0903249544
764.658118784, 121.552706261, 40.2010050251, 22.044494273
759.125078764, 119.708359588, 39.9497487437, 21.9984722304
753.603626321, 117.86787544, 39.6984924623, 21.9522568165
748.093810297, 116.031270099, 39.4472361809, 21.9058459871
742.595680054, 114.198560018, 39.1959798995, 21.8592376634
737.109285476, 112.369761825, 38.9447236181, 21.8124297307
731.634676986, 110.544892329, 38.6934673367, 21.7654200381
726.171905553, 108.723968518, 38.4422110553, 21.7182063974
720.721022697, 106.907007566, 38.1909547739, 21.6707865819
715.282080506, 105.094026835, 37.9396984925, 21.623158326
709.855131641, 103.28504388, 37.6884422111, 21.5753193238
704.440229346, 101.480076449, 37.4371859296, 21.5272672286
699.037427462, 99.6791424875, 37.1859296482, 21.4789996514
693.646780435, 97.8822601451, 36.9346733668, 21.4305141599
688.268343328, 96.0894477759, 36.6834170854, 21.381808278
682.902171829, 94.3007239431, 36.432160804, 21.332879484
677.54832227, 92.5161074234, 36.1809045226, 21.2837252096
672.206851631, 90.7356172104, 35.9296482412, 21.2343428391
666.877817557, 88.959272519, 35.6783919598, 21.1847297078
661.561278367, 87.1870927891, 35.4271356784, 21.1348831007
656.257293071, 85.4190976903, 35.175879397, 21.0848002516
650.965921378, 83.6553071261, 34.9246231156, 21.0344783413
645.687223715, 81.8957412382, 34.6733668342, 20.9839144965
640.421261234, 80.1404204114, 34.4221105528, 20.933105788
635.168095835, 78.3893652784, 34.1708542714, 20.8820492296
629.927790172, 76.642596724, 33.9195979899, 20.8307417766
624.700407672, 74.9001358908, 33.6683417085, 20.7791803237
619.486012552, 73.1620041841, 33.4170854271, 20.7273617038
614.284669831, 71.428223277, 33.1658291457, 20.6752826861
609.096445348, 69.6988151159, 32.9145728643, 20.6229399744
603.921405778, 67.973801926, 32.6633165829, 20.5703302051
598.759618652, 66.2532062174, 32.4120603015, 20.5174499456
593.611152371, 64.5370507903, 32.1608040201, 20.464295692
588.476076225, 62.8253587416, 31.9095477387, 20.4108638675
583.354460412, 61.1181534708, 31.6582914573, 20.3571508195
578.24637606, 59.4154586867, 31.4070351759, 20.3031528183
573.151895241, 57.7172984136, 31.1557788945, 20.2488660544
568.071090995, 56.0236969984, 30.9045226131, 20.1942866359
563.004037352, 54.3346791175, 30.6532663317, 20.1394105865
557.950809351, 52.6502697838, 30.4020100503, 20.0842338426
552.911483063, 50.9704943545, 30.1507537688, 20.028752251
547.886135615, 49.2953785382, 29.8994974874, 19.9729615658
542.874845211, 47.6249484035, 29.648241206, 19.9168574456
537.877691159, 45.9592303863, 29.3969849246, 19.8604354509
532.894753896, 44.2982512987, 29.1457286432, 19.8036910403
527.926115013, 42.6420383376, 28.8944723618, 19.7466195681
522.97185728, 40.9906190933, 28.6432160804, 19.6892162804
518.032064677, 39.3440215591, 28.391959799, 19.6314763117
513.106822421, 37.7022741405, 28.1407035176, 19.5733946814
508.196216995, 36.0654056649, 27.8894472362, 19.51496629
503.300336177, 34.4334453923, 27.6381909548, 19.456185915
498.419269075, 32.806423025, 27.3869346734, 19.397048207
493.553106157, 31.1843687191, 27.135678392, 19.3375476853
488.701939286, 29.5673130952, 26.8844221106, 19.2776787334
483.86586175, 27.9552872501, 26.6331658291, 19.2174355945
479.044968307, 26.348322769, 26.3819095477, 19.1568123665
474.239355213, 24.7464517375, 26.1306532663, 19.0958029967
469.449120264, 23.1497067546, 25.8793969849, 19.034401277
464.674362838, 21.5581209461, 25.6281407035, 18.9726008379
