# MIT Bag Model EoS, B = 140
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
3986.54465561, 1142.18155187, 150.0, 34.1915080498
3960.79377126, 1133.59792375, 149.246231156, 34.13413964
3935.08620225, 1125.02873408, 148.492462312, 34.0765777438
3909.42209504, 1116.47403168, 147.738693467, 34.0188207217
3883.80159734, 1107.93386578, 146.984924623, 33.9608669115
3858.22485811, 1099.40828604, 146.231155779, 33.9027146283
3832.69202759, 1090.89734253, 145.477386935, 33.8443621642
3807.20325734, 1082.40108578, 144.72361809, 33.7858077875
3781.75870019, 1073.91956673, 143.969849246, 33.7270497423
3756.35851035, 1065.45283678, 143.216080402, 33.6680862484
3731.00284335, 1057.00094778, 142.462311558, 33.6089155004
3705.6918561, 1048.56395203, 141.708542714, 33.5495356673
3680.4257069, 1040.1419023, 140.954773869, 33.4899448924
3655.20455546, 1031.73485182, 140.201005025, 33.4301412921
3630.02856293, 1023.34285431, 139.447236181, 33.370122956
3604.89789188, 1014.96596396, 138.693467337, 33.3098879461
3579.81270638, 1006.60423546, 137.939698492, 33.2494342961
3554.773172, 998.257723998, 137.185929648, 33.1887600111
3529.77945578, 989.92648526, 136.432160804, 33.1278630669
3504.83172634, 981.610575448, 135.67839196, 33.0667414095
3479.93015385, 973.310051285, 134.924623116, 33.0053929543
3455.07491006, 965.02497002, 134.170854271, 32.9438155856
3430.26616831, 956.755389438, 133.417085427, 32.882007156
3405.5041036, 948.501367868, 132.663316583, 32.8199654857
3380.78889257, 940.26296419, 131.909547739, 32.7576883617
3356.12071354, 932.040237845, 131.155778894, 32.6951735373
3331.49974653, 923.833248843, 130.40201005, 32.6324187314
3306.92617331, 915.64205777, 129.648241206, 32.5694216273
3282.4001774, 907.466725801, 128.894472362, 32.5061798728
3257.92194412, 899.307314705, 128.140703518, 32.4426910786
3233.49166057, 891.163886856, 127.386934673, 32.378952818
3209.10951573, 883.036505243, 126.633165829, 32.3149626259
3184.77570044, 874.925233479, 125.879396985, 32.250717998
3160.49040744, 866.830135812, 125.125628141, 32.1862163898
3136.2538314, 858.751277133, 124.371859296, 32.1214552161
3112.06616897, 850.688722989, 123.618090452, 32.0564318496
3087.92761878, 842.642539592, 122.864321608, 31.9911436203
3063.83838149, 834.612793831, 122.110552764, 31.9255878144
3039.79865984, 826.599553281, 121.35678392, 31.8597616734
3015.80865865, 818.602886218, 120.603015075, 31.7936623929
