# MIT Bag Model EoS, B = 190
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
742.552004876, -5.81599837458, 35.0, 21.0496001858
738.852918021, -7.04902732632, 34.824120603, 21.0142819983
735.160053368, -8.27998221073, 34.648241206, 20.9788446933
731.473431955, -9.50885601485, 34.472361809, 20.9432872613
727.793075002, -10.7356416661, 34.2964824121, 20.9076086789
724.119003905, -11.9603320316, 34.1206030151, 20.8718079091
720.451240249, -13.1829199171, 33.9447236181, 20.8358839002
716.789805801, -14.4033980665, 33.7688442211, 20.7998355862
713.134722519, -15.6217591604, 33.5929648241, 20.7636618861
709.486012552, -16.8379958159, 33.4170854271, 20.7273617038
705.843698244, -18.0521005853, 33.2412060302, 20.6909339281
702.207802134, -19.2640659553, 33.0653266332, 20.6543774315
698.578346962, -20.473884346, 32.8894472362, 20.6176910711
694.95535567, -21.68154811, 32.7135678392, 20.5808736873
691.338851405, -22.8870495316, 32.5376884422, 20.5439241039
687.728857524, -24.0903808253, 32.3618090452, 20.5068411278
684.125397593, -25.2915341356, 32.1859296482, 20.4696235485
680.528495395, -26.490501535, 32.0100502513, 20.4322701379
676.938174928, -27.687275024, 31.8341708543, 20.3947796497
673.354460412, -28.8818465292, 31.6582914573, 20.3571508195
669.777376293, -30.0742079024, 31.4824120603, 20.3193823639
666.20694724, -31.26435092, 31.3065326633, 20.2814729804
662.643198157, -32.4522672811, 31.1306532663, 20.2434213469
659.086154179, -33.6379486069, 30.9547738693, 20.2052261216
655.535840682, -34.8213864392, 30.7788944724, 20.1668859419
651.992283282, -36.0025722395, 30.6030150754, 20.1283994249
648.455507838, -37.1814973874, 30.4271356784, 20.0897651659
644.925540461, -38.3581531797, 30.2512562814, 20.050981739
641.402407513, -39.5325308289, 30.0753768844, 20.0120476959
637.886135615, -40.7046214618, 29.8994974874, 19.9729615658
634.376751645, -41.8744161184, 29.7236180905, 19.9337218546
630.874282749, -43.0419057504, 29.5477386935, 19.8943270447
627.37875634, -44.20708122, 29.3718592965, 19.8547755943
623.890200106, -45.369933298, 29.1959798995, 19.8150659371
620.408642012, -46.5304526627, 29.0201005025, 19.7751964815
616.934110304, -47.6886298985, 28.8442211055, 19.7351656099
613.466633518, -48.8444554941, 28.6683417085, 19.6949716787
610.006240477, -49.997919841, 28.4924623116, 19.654613017
606.552960304, -51.149013232, 28.3165829146, 19.6140879268
603.106822421, -52.2977258595, 28.1407035176, 19.5733946814
599.667856558, -53.444047814, 27.9648241206, 19.5325315256
596.236092755, -54.5879690818, 27.7889447236, 19.4914966747
592.811561367, -55.7294795442, 27.6130653266, 19.4502883135
589.394293075, -56.8685689748, 27.4371859296, 19.4089045963
585.984318885, -58.0052270384, 27.2613065327, 19.3673436456
582.581670135, -59.1394432884, 27.0854271357, 19.3256035515
579.186378503, -60.2712071656, 26.9095477387, 19.2836823709
575.798476013, -61.4005079957, 26.7336683417, 19.241578127
572.417995037, -62.5273349875, 26.5577889447, 19.1992888079
569.044968307, -63.651677231, 26.3819095477, 19.1568123665
565.679428916, -64.7735236948, 26.2060301508, 19.1141467189
562.321410326, -65.8928632246, 26.0301507538, 19.0712897439
558.970946379, -67.0096845403, 25.8542713568, 19.028239282
555.628071297, -68.1239762342, 25.6783919598, 18.9849931346
552.292819694, -69.2357267686, 25.5025125628, 18.9415490625
548.96522658, -70.3449244732, 25.3266331658, 18.8979047856
545.645327372, -71.4515575428, 25.1507537688, 18.8540579812
542.333157896, -72.5556140348, 24.9748743719, 18.8100062834
539.0287544, -73.6570818666, 24.7989949749, 18.7657472815
535.732153561, -74.7559488129, 24.6231155779, 18.7212785194
532.443392491, -75.8522025031, 24.4472361809, 18.6765974938
529.162508745, -76.9458304183, 24.2713567839, 18.6317016536
525.889540334, -78.0368198888, 24.0954773869, 18.586588398
522.624525728, -79.1251580907, 23.9195979899, 18.5412550756
519.36750387, -80.2108320434, 23.743718593, 18.4956989827
516.118514182, -81.293828606, 23.567839196, 18.4499173624
512.877596576, -82.3741344746, 23.391959799, 18.4039074024
509.644791464, -83.4517361785, 23.216080402, 18.3576662342
506.420139768, -84.5266200774, 23.040201005, 18.311190931
503.203682928, -85.5987723574, 22.864321608, 18.2644785063
499.995462916, -86.6681790279, 22.6884422111, 18.2175259122
496.795522246, -87.7348259179, 22.5125628141, 18.1703300378
493.603903985, -88.7986986717, 22.3366834171, 18.1228877069
490.420651762, -89.8597827459, 22.1608040201, 18.0751956767
487.245809786, -90.9180634047, 21.9849246231, 18.0272506354
484.079422851, -91.9735257162, 21.8090452261, 17.9790492004
480.921536356, -93.0261545479, 21.6331658291, 17.9305879163
477.772196312, -94.0759345628, 21.4572864322, 17.8818632525
474.631449357, -95.1228502143, 21.2814070352, 17.8328716008
471.499342773, -96.1668857423, 21.1055276382, 17.7836092736
468.375924496, -97.208025168, 20.9296482412, 17.7340725009
465.261243133, -98.2462522888, 20.7537688442, 17.6842574281
462.155347978, -99.2815506741, 20.5778894472, 17.6341601132
459.058289022, -100.313903659, 20.4020100503, 17.583776524
455.970116979, -101.34329434, 20.2261306533, 17.5331025354
452.890883292, -102.369705569, 20.0502512563, 17.4821339265
449.820640159, -103.393119947, 19.8743718593, 17.4308663773
446.759440543, -104.413519819, 19.6984924623, 17.3792954653
443.707338196, -105.430887268, 19.5226130653, 17.3274166627
440.664387677, -106.445204108, 19.3467336683, 17.2752253325
437.630644368, -107.456451877, 19.1708542714, 17.2227167249
434.606164499, -108.464611834, 18.9949748744, 17.1698859736
431.591005164, -109.469664945, 18.8190954774, 17.1167280917
428.585224346, -110.471591885, 18.6432160804, 17.0632379676
425.58888094, -111.47037302, 18.4673366834, 17.0094103609
422.602034772, -112.465988409, 18.2914572864, 16.9552398973
419.624746626, -113.458417791, 18.1155778894, 16.9007210646
416.657078268, -114.447640577, 17.9396984925, 16.8458482074
413.699092472, -115.433635843, 17.7638190955, 16.7906155217
410.750853046, -116.416382318, 17.5879396985, 16.73501705
407.812424861, -117.39585838, 17.4120603015, 16.6790466752
404.883873875, -118.372042042, 17.2361809045, 16.6226981151
401.965267169, -119.344910944, 17.0603015075, 16.5659649157
399.056672974, -120.314442342, 16.8844221106, 16.5088404451
396.158160702, -121.280613099, 16.7085427136, 16.4513178866
393.269800984, -122.243399672, 16.5326633166, 16.3933902313
390.391665697, -123.202778101, 16.3567839196, 16.3350502708
387.523828007, -124.158723998, 16.1809045226, 16.2762905894
384.666362403, -125.111212532, 16.0050251256, 16.2171035555
381.819344733, -126.060218422, 15.8291457286, 16.157481313
378.982852251, -127.005715916, 15.6532663317, 16.0974157722
376.156963652, -127.947678783, 15.4773869347, 16.0368986003
373.341759121, -128.886080293, 15.3015075377, 15.9759212107
370.537320374, -129.820893209, 15.1256281407, 15.9144747528
367.743730709, -130.752089764, 14.9497487437, 15.8525501002
364.961075055, -131.679641648, 14.7738693467, 15.7901378395
362.189440022, -132.603519993, 14.5979899497, 15.7272282567
359.428913955, -133.523695348, 14.4221105528, 15.663811325
356.679586992, -134.440137669, 14.2462311558, 15.5998766896
353.941551122, -135.352816293, 14.0703517588, 15.5354136539
351.214900247, -136.261699918, 13.8944723618, 15.4704111629
348.499730245, -137.166756585, 13.7185929648, 15.4048577869
345.796139039, -138.067953654, 13.5427135678, 15.3387417038
343.104226668, -138.965257777, 13.3668341709, 15.2720506801
340.424095358, -139.858634881, 13.1909547739, 15.2047720515
337.755849606, -140.748050131, 13.0150753769, 15.1368927009
335.099596252, -141.633467916, 12.8391959799, 15.0683990367
332.455444573, -142.514851809, 12.6633165829, 14.9992769683
329.823506372, -143.392164543, 12.4874371859, 14.9295118809
327.203896066, -144.265367978, 12.3115577889, 14.8590886079
324.596730793, -145.134423069, 12.135678392, 14.7879914025
322.002130513, -145.999289829, 11.959798995, 14.7162039059
319.42021812, -146.859927293, 11.783919598, 14.6437091149
316.851119557, -147.716293481, 11.608040201, 14.5704893459
314.29496394, -148.568345353, 11.432160804, 14.4965261973
311.751883688, -149.416038771, 11.256281407, 14.4218005083
309.22201466, -150.259328447, 11.0804020101, 14.3462923159
306.705496299, -151.0981679, 10.9045226131, 14.2699808071
