# MIT Bag Model EoS, B = 180
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
1069.01503475, 116.338344917, 50.0, 23.7070675934
1063.06347942, 114.354493141, 49.7487437186, 23.6672905596
1057.12193515, 112.373978385, 49.4974874372, 23.62737937
1051.19043579, 110.396811932, 49.2462311558, 23.5873328875
1045.26901548, 108.423005161, 48.9949748744, 23.5471499598
1039.35770865, 106.452569549, 48.743718593, 23.5068294187
1033.45655001, 104.485516671, 48.4924623116, 23.4663700798
1027.5655746, 102.521858201, 48.2412060302, 23.4257707425
1021.68481775, 100.561605916, 47.9899497487, 23.3850301894
1015.81431508, 98.6047716939, 47.7386934673, 23.3441471861
1009.95410255, 96.6513675179, 47.4874371859, 23.3031204809
1004.10421643, 94.7014054763, 47.2361809045, 23.2619488042
998.264693294, 92.7548977645, 46.9849246231, 23.2206308685
992.43557006, 90.8118566866, 46.7336683417, 23.179165368
986.61688397, 88.8722946568, 46.4824120603, 23.137550978
980.808672603, 86.936224201, 46.2311557789, 23.0957863548
975.010973875, 85.0036579585, 45.9798994975, 23.053870135
969.223826051, 83.0746086836, 45.7286432161, 23.0118009354
963.447267742, 81.1490892474, 45.4773869347, 22.9695773526
957.681337918, 79.2271126393, 45.2261306533, 22.9271979623
951.926075906, 77.3086919688, 44.9748743719, 22.8846613192
946.181521402, 75.3938404674, 44.7236180905, 22.8419659564
940.447714472, 73.4825714905, 44.472361809, 22.7991103849
934.724695557, 71.5748985191, 44.2211055276, 22.7560930933
929.012505484, 69.6708351615, 43.9698492462, 22.7129125473
923.311185467, 67.7703951558, 43.7185929648, 22.669567189
917.620777114, 65.8735923714, 43.4673366834, 22.6260554367
911.941322434, 63.9804408113, 43.216080402, 22.5823756844
906.272863842, 62.0909546139, 42.9648241206, 22.5385263009
900.615444166, 60.2051480553, 42.7135678392, 22.4945056297
894.969106655, 58.3230355516, 42.4623115578, 22.4503119881
889.333894983, 56.4446316608, 42.2110552764, 22.4059436669
883.709853256, 54.5699510852, 41.959798995, 22.3613989298
878.097026021, 52.6990086737, 41.7085427136, 22.3166760126
872.495458272, 50.8318194241, 41.4572864322, 22.2717731226
866.905195456, 48.9683984855, 41.2060301508, 22.2266884383
861.326283483, 47.1087611609, 40.9547738693, 22.1814201085
855.758768729, 45.2529229097, 40.7035175879, 22.1359662514
850.20269805, 43.4008993499, 40.4522613065, 22.0903249544
844.658118784, 41.5527062614, 40.2010050251, 22.044494273
839.125078764, 39.7083595879, 39.9497487437, 21.9984722304
833.603626321, 37.8678754402, 39.6984924623, 21.9522568165
828.093810297, 36.0312700992, 39.4472361809, 21.9058459871
822.595680054, 34.1985600179, 39.1959798995, 21.8592376634
817.109285476, 32.3697618252, 38.9447236181, 21.8124297307
811.634676986, 30.5448923287, 38.6934673367, 21.7654200381
806.171905553, 28.7239685175, 38.4422110553, 21.7182063974
800.721022697, 26.9070075657, 38.1909547739, 21.6707865819
795.282080506, 25.0940268354, 37.9396984925, 21.623158326
789.855131641, 23.2850438803, 37.6884422111, 21.5753193238
784.440229346, 21.4800764488, 37.4371859296, 21.5272672286
779.037427462, 19.6791424875, 37.1859296482, 21.4789996514
773.646780435, 17.8822601451, 36.9346733668, 21.4305141599
768.268343328, 16.0894477759, 36.6834170854, 21.381808278
762.902171829, 14.3007239431, 36.432160804, 21.332879484
757.54832227, 12.5161074234, 36.1809045226, 21.2837252096
752.206851631, 10.7356172104, 35.9296482412, 21.2343428391
746.877817557, 8.959272519, 35.6783919598, 21.1847297078
741.561278367, 7.1870927891, 35.4271356784, 21.1348831007
736.257293071, 5.4190976903, 35.175879397, 21.0848002516
730.965921378, 3.65530712605, 34.9246231156, 21.0344783413
725.687223715, 1.89574123817, 34.6733668342, 20.9839144965
720.421261234, 0.14042041145, 34.4221105528, 20.933105788
715.168095835, -1.61063472163, 34.1708542714, 20.8820492296
709.927790172, -3.35740327602, 33.9195979899, 20.8307417766
704.700407672, -5.09986410917, 33.6683417085, 20.7791803237
699.486012552, -6.83799581588, 33.4170854271, 20.7273617038
694.284669831, -8.57177672301, 33.1658291457, 20.6752826861
689.096445348, -10.3011848841, 32.9145728643, 20.6229399744
683.921405778, -12.026198074, 32.6633165829, 20.5703302051
678.759618652, -13.7467937826, 32.4120603015, 20.5174499456
673.611152371, -15.4629492097, 32.1608040201, 20.464295692
668.476076225, -17.1746412584, 31.9095477387, 20.4108638675
663.354460412, -18.8818465292, 31.6582914573, 20.3571508195
658.24637606, -20.5845413133, 31.4070351759, 20.3031528183
653.151895241, -22.2827015864, 31.1557788945, 20.2488660544
648.071090995, -23.9763030016, 30.9045226131, 20.1942866359
643.004037352, -25.6653208825, 30.6532663317, 20.1394105865
637.950809351, -27.3497302162, 30.4020100503, 20.0842338426
632.911483063, -29.0295056455, 30.1507537688, 20.028752251
627.886135615, -30.7046214618, 29.8994974874, 19.9729615658
622.874845211, -32.3750515965, 29.648241206, 19.9168574456
617.877691159, -34.0407696137, 29.3969849246, 19.8604354509
612.894753896, -35.7017487013, 29.1457286432, 19.8036910403
607.926115013, -37.3579616624, 28.8944723618, 19.7466195681
602.97185728, -39.0093809067, 28.6432160804, 19.6892162804
598.032064677, -40.6559784409, 28.391959799, 19.6314763117
593.106822421, -42.2977258595, 28.1407035176, 19.5733946814
588.196216995, -43.9345943351, 27.8894472362, 19.51496629
583.300336177, -45.5665546077, 27.6381909548, 19.456185915
578.419269075, -47.193576975, 27.3869346734, 19.397048207
573.553106157, -48.8156312809, 27.135678392, 19.3375476853
568.701939286, -50.4326869048, 26.8844221106, 19.2776787334
563.86586175, -52.0447127499, 26.6331658291, 19.2174355945
559.044968307, -53.651677231, 26.3819095477, 19.1568123665
554.239355213, -55.2535482625, 26.1306532663, 19.0958029967
549.449120264, -56.8502932454, 25.8793969849, 19.034401277
544.674362838, -58.4418790539, 25.6281407035, 18.9726008379
539.915183934, -60.028272022, 25.3768844221, 18.9103951427
535.171686214, -61.6094379287, 25.1256281407, 18.8477774817
530.443974048, -63.185341984, 24.8743718593, 18.7847409658
525.732153561, -64.7559488129, 24.6231155779, 18.7212785194
521.036332681, -66.3212224397, 24.3718592965, 18.6573828738
516.356621184, -67.8811262719, 24.1206030151, 18.5930465599
511.693130753, -69.4356230824, 23.8693467337, 18.5282619003
507.045975023, -70.9846749924, 23.6180904523, 18.4630210013
502.415269642, -72.5282434526, 23.3668341709, 18.3973157445
497.801132329, -74.0662892237, 23.1155778894, 18.3311377778
493.203682928, -75.5987723574, 22.864321608, 18.2644785063
488.623043477, -77.1256521744, 22.6130653266, 18.197329082
484.059338268, -78.646887244, 22.3618090452, 18.1296803941
479.512693918, -80.1624353605, 22.1105527638, 18.0615230575
474.983239438, -81.6722535208, 21.8592964824, 17.9928474017
470.471106303, -83.1762978991, 21.608040201, 17.9236434587
465.976428533, -84.6745238222, 21.3567839196, 17.85390095
461.499342773, -86.1668857423, 21.1055276382, 17.7836092736
457.03998837, -87.6533372099, 20.8542713568, 17.7127574894
452.598507467, -89.1338308442, 20.6030150754, 17.6413343044
448.175045089, -90.6083183036, 20.351758794, 17.5693280569
443.769749239, -92.0767502536, 20.1005025126, 17.4967266995
439.382770998, -93.539076334, 19.8492462312, 17.4235177818
435.014264627, -94.9952451244, 19.5979899497, 17.349688431
430.664387677, -96.4452041077, 19.3467336683, 17.2752253325
426.333301102, -97.8888996326, 19.0954773869, 17.2001147085
422.021169379, -99.3262768737, 18.8442211055, 17.1243422956
417.728160631, -100.75727979, 18.5929648241, 17.0478933209
413.454446759, -102.18185108, 18.3417085427, 16.9707524768
409.200203584, -103.599932139, 18.0904522613, 16.8929038937
404.965610982, -105.011463006, 17.8391959799, 16.8143311119
400.750853046, -106.416382318, 17.5879396985, 16.73501705
396.556118243, -107.814627252, 17.3366834171, 16.654943973
392.381599577, -109.206133474, 17.0854271357, 16.5740934572
388.227494777, -110.590835074, 16.8341708543, 16.4924463525
384.094006475, -111.968664508, 16.5829145729, 16.4099827429
379.98134241, -113.33955253, 16.3316582915, 16.3266819035
375.889715634, -114.703428122, 16.0804020101, 16.2425222547
371.819344733, -116.060218422, 15.8291457286, 16.157481313
367.770454061, -117.409848646, 15.5778894472, 16.071535638
363.74327399, -118.752242003, 15.3266331658, 15.9846607755
359.738041166, -120.087319611, 15.0753768844, 15.8968311964
355.754998794, -121.415000402, 14.824120603, 15.8080202305
351.794396932, -122.735201023, 14.5728643216, 15.7181999951
347.8564928, -124.047835733, 14.3216080402, 15.627341318
343.941551122, -125.352816293, 14.0703517588, 15.5354136539
340.049844477, -126.650051841, 13.8190954774, 15.4423849943
336.18165368, -127.939448773, 13.567839196, 15.348221769
332.337268189, -129.220910604, 13.3165829146, 15.2528887395
328.516986538, -130.494337821, 13.0653266332, 15.1563488826
324.721116799, -131.759627734, 12.8140703518, 15.0585632643
320.949977081, -133.016674306, 12.5628140704, 14.9594909009
317.203896066, -134.265367978, 12.3115577889, 14.8590886079
313.483213576, -135.505595475, 12.0603015075, 14.7573108342
309.788281198, -136.737239601, 11.8090452261, 14.65410948
306.119462944, -137.960179019, 11.5577889447, 14.5494336961
302.477135969, -139.17428801, 11.3065326633, 14.4432296639
298.861691351, -140.379436216, 11.0552763819, 14.3354403508
295.273534928, -141.575488357, 10.8040201005, 14.2260052407
291.713088212, -142.762303929, 10.5527638191, 14.1148600343
288.18078938, -143.939736873, 10.3015075377, 14.0019363165
284.677094355, -145.107635215, 10.0502512563, 13.8871611844
281.202477984, -146.265840672, 9.79899497487, 13.7704568334
277.757435326, -147.414188225, 9.54773869347, 13.6517400911
274.342483067, -148.552505644, 9.29648241206, 13.5309218957
270.95816107, -149.680612977, 9.04522613065, 13.4079067059
267.605034087, -150.798321971, 8.79396984925, 13.2825918349
264.283693647, -151.905435451, 8.54271356784, 13.1548666947
260.994760145, -153.001746618, 8.29145728643, 13.0246119344
257.738885167, -154.087038278, 8.04020100503, 12.8916984568
254.516754076, -155.161081975, 7.78894472362, 12.7559862892
251.329088906, -156.223637031, 7.53768844221, 12.6173232821
248.176651603, -157.274449466, 7.2864321608, 12.4755436036
245.060247678, -158.313250774, 7.0351758794, 12.3304659885
241.980730337, -159.339756554, 6.78391959799, 12.181891691
238.939005166, -160.353664945, 6.53266331658, 12.0296020801
235.936035473, -161.354654842, 6.28140703518, 11.8733557965
232.972848413, -162.342383862, 6.03015075377, 11.7128853713
230.050542038, -163.316485987, 5.77889447236, 11.5478931774
227.170293472, -164.276568843, 5.52763819095, 11.3780465467
224.333368436, -165.222210521, 5.27638190955, 11.2029718335
221.541132424, -166.152955859, 5.02512562814, 11.0222471365
218.795063919, -167.068312027, 4.77386934673, 10.8353932909
216.096770142, -167.967743286, 4.52261306533, 10.6418626048
213.44800599, -168.85066467, 4.27135678392, 10.4410246148
210.850697023, -169.716434326, 4.02010050251, 10.232147846
208.306967691, -170.564344103, 3.76884422111, 10.0143761255
205.819176401, -171.393607866, 3.5175879397, 9.7866973407
203.389959701, -172.203346766, 3.26633165829, 9.54790149837
201.022288824, -172.992570392, 3.01507537688, 9.29652327996
198.71954337, -173.76015221, 2.76381909548, 9.03076152875
196.485609327, -174.504796891, 2.51256281407, 8.74836334977
194.325012724, -175.224995759, 2.26130653266, 8.44645194687
192.243107227, -175.918964258, 2.01005025126, 8.12126112734
190.246346945, -176.584551018, 1.75879396985, 7.76770682696
188.342700849, -177.219099717, 1.50753768844, 7.37865541712
186.542318397, -177.819227201, 1.25628140704, 6.94358059221
184.858680323, -178.380439892, 1.00502512563, 6.44584922842
183.310803026, -178.896398991, 0.753768844221, 5.85644268563
181.928168564, -179.357277145, 0.502512562814, 5.11607392301
180.765194202, -179.744935266, 0.251256281407, 4.06063056367
180.0, -180.0, 3.33333333333e-16, 0.0
